City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tommot,80,RU,1553365294,82,58.97,126.27,17.05,2.84
Zhangye,44,CN,1553365174,58,38.94,100.46,29.29,5.86
Walvis Bay,0,NA,1553364128,77,-22.95,14.51,63.0,11.41
San Jose,24,PH,1553365086,89,15.79,120.99,67.81,3.29
Chapais,1,CA,1553360400,34,49.78,-74.86,21.2,10.29
Qaanaaq,8,GL,1553365298,61,77.48,-69.36,-21.57,10.0
Malanje,48,AO,1553365298,96,-9.54,16.35,70.42,4.29
Toamasina,75,MG,1553364000,94,-18.17,49.38,78.8,3.36
Avarua,80,CK,1553362200,94,-21.21,-159.78,75.2,1.12
Arraial do Cabo,40,BR,1553364000,65,-22.97,-42.02,82.4,10.29
Bahawalnagar,0,PK,1553365299,69,29.99,73.25,67.63,8.1
Poplar Bluff,1,US,1553364996,44,36.76,-90.39,62.6,5.82
Gamba,0,CN,1553365299,41,28.28,88.52,-7.17,3.85
Tromso,75,NO,1553363400,55,69.65,18.96,39.2,40.26
Thompson,20,CA,1553364000,48,55.74,-97.86,17.6,14.99
Okato,0,NZ,1553365222,97,-39.19,173.88,55.99,1.01
Severo-Kurilsk,80,RU,1553365300,96,50.68,156.12,30.1,18.61
Batagay-Alyta,56,RU,1553365205,65,67.8,130.41,-10.86,2.73
Nanortalik,24,GL,1553365191,100,60.14,-45.24,23.17,17.72
Ngunguru,24,NZ,1553364484,95,-35.62,174.5,55.99,4.29
Flinders,32,AU,1553365032,77,-34.58,150.85,72.0,2.62
Leningradskiy,80,RU,1553365300,79,69.38,178.42,-8.07,20.29
Ambilobe,80,MG,1553365301,97,-13.19,49.05,74.92,2.39
Constitucion,5,MX,1553365217,20,23.99,-104.67,66.0,4.7
Fortuna,20,ES,1553365297,51,38.18,-1.13,61.0,5.82
Guerrero Negro,0,MX,1553365302,63,27.97,-114.04,68.26,4.85
Zaporizhzhya,0,UA,1553364000,68,47.82,35.18,37.4,13.42
Esna,0,RO,1553365302,35,45.2,27.57,46.21,11.23
Yellowknife,20,CA,1553365009,54,62.45,-114.38,5.0,9.17
Alexandria,1,US,1553365004,40,31.31,-92.44,75.0,6.93
Wausau,1,US,1553365022,45,44.96,-89.63,48.99,8.05
Murakami,88,JP,1553365303,80,38.29,139.58,29.74,3.96
Broken Hill,64,AU,1553360400,53,-31.97,141.45,73.4,8.05
Tuktoyaktuk,90,CA,1553364000,71,69.44,-133.03,8.6,23.04
Touros,40,BR,1553364000,74,-5.2,-35.46,86.0,6.93
Newport,76,GB,1553365094,66,51.59,-3.0,52.0,9.17
Harlingen,90,US,1553365151,61,26.19,-97.7,81.0,17.22
Omsukchan,0,RU,1553365058,36,62.53,155.8,-13.02,2.51
Klaksvik,92,FO,1553363400,80,62.23,-6.59,39.2,20.8
Pevek,0,RU,1553365305,35,69.7,170.27,-23.64,3.4
Vanavara,0,RU,1553365305,65,60.35,102.28,9.94,4.41
Salair,8,RU,1553365305,60,54.23,85.8,17.68,3.96
Port Elizabeth,1,US,1553365269,42,39.31,-74.98,50.0,19.46
Fare,8,PF,1553365306,99,-16.7,-151.02,83.74,9.44
Alamosa,20,US,1553365107,33,37.47,-105.87,43.0,3.4
Greystones,75,IE,1553364983,61,53.14,-6.06,48.2,5.82
Emba,20,CY,1553364956,87,34.81,32.42,60.8,4.7
Longyearbyen,20,NO,1553363400,67,78.22,15.63,21.2,16.11
Astana,90,KZ,1553362200,88,51.13,71.43,33.8,2.24
Hobyo,12,SO,1553365306,86,5.35,48.53,80.14,12.8
Balabac,0,PH,1553365307,99,7.99,117.06,81.94,10.56
Kaitangata,80,NZ,1553365307,91,-46.28,169.85,56.38,3.96
Dikson,68,RU,1553365048,91,73.51,80.55,15.07,21.52
Khasan,0,RU,1553365307,100,42.43,130.64,24.16,8.43
Bushehr,0,IR,1553360400,64,28.97,50.84,69.8,2.17
Carnarvon,92,ZA,1553365308,16,-30.97,22.13,78.7,7.43
New Norfolk,75,AU,1553365274,68,-42.78,147.06,64.4,8.05
Porto Novo,40,BR,1553364000,48,-23.68,-45.44,84.2,3.36
Isangel,92,VU,1553365308,100,-19.55,169.27,76.99,15.14
Puerto Ayacucho,75,CO,1553360400,41,5.66,-67.63,95.0,6.93
Grand Gaube,75,MU,1553365140,83,-20.01,57.66,80.6,10.29
Poum,20,MK,1553362200,28,41.28,20.71,57.2,3.36
Tocopilla,0,CL,1553365087,87,-22.09,-70.2,69.16,4.97
Egvekinot,88,RU,1553365309,65,66.32,-179.17,-1.5,5.19
Husavik,0,CA,1553365224,65,50.56,-96.99,42.01,8.01
Lujiang,0,CN,1553360400,81,31.26,117.28,44.6,2.24
Ribeira Grande,20,PT,1553362200,62,38.52,-28.7,57.2,12.75
Skjervoy,76,NO,1553365313,98,70.03,20.97,37.21,12.91
Pangai,64,TO,1553365313,100,-19.8,-174.35,79.42,13.47
Margate,75,AU,1553365274,68,-43.03,147.26,64.4,8.05
Lhokseumawe,0,ID,1553365274,98,5.18,97.15,83.92,9.1
Sisimiut,68,GL,1553365146,71,66.94,-53.67,-6.81,2.28
Lebu,40,ET,1553364000,30,8.96,38.73,69.8,6.93
Dong Hoi,92,VN,1553365314,100,17.48,106.6,72.31,13.69
Robe,0,ET,1553365314,44,7.12,40.01,57.46,5.64
Te Anau,92,NZ,1553365184,87,-45.41,167.72,50.89,3.06
Boa Vista,40,BR,1553364000,34,2.82,-60.67,95.0,8.05
Sorland,92,NO,1553365316,95,67.67,12.69,41.08,39.97
Tateyama,88,JP,1553365198,88,36.66,137.31,37.0,1.99
Sao Filipe,0,CV,1553365316,92,14.9,-24.5,71.95,15.26
Troitskoye,0,RU,1553365317,73,52.98,84.68,18.67,2.51
Liwale,12,TZ,1553365317,64,-9.8,37.92,81.04,6.31
Esperance,40,TT,1553364970,48,10.24,-61.45,88.0,18.34
Cherskiy,12,RU,1553365317,22,68.75,161.3,-14.64,2.17
Clyde River,75,CA,1553364000,75,70.47,-68.59,-16.61,16.11
Kropotkin,0,RU,1553364917,92,45.43,40.58,42.01,6.64
Codrington,12,AU,1553365030,88,-28.95,153.24,71.6,4.97
Shelburne,20,CA,1553365262,37,44.08,-80.2,39.99,8.05
Ostrovnoy,8,RU,1553365321,87,68.05,39.51,29.29,26.33
Kikwit,76,CD,1553365200,95,-5.04,18.82,72.31,3.62
Vuktyl,8,RU,1553365322,83,63.86,57.31,21.82,4.74
Anadyr,76,RU,1553364799,76,64.73,177.51,-5.01,4.47
Busselton,8,AU,1553365217,51,-33.64,115.35,53.01,13.24
Porto Walter,56,BR,1553365325,80,-8.27,-72.74,83.56,2.62
Arrigorriaga,0,ES,1553365240,42,43.21,-2.89,64.0,8.05
Buchanan,40,LR,1553364000,74,5.88,-10.05,86.0,8.05
Mayo,75,CA,1553360400,56,63.59,-135.9,42.8,11.41
Sola,40,NO,1553365202,80,58.89,5.65,43.0,16.11
Sao Joao da Barra,75,BR,1553360400,65,-21.64,-41.05,82.4,4.7
Nuuk,75,GL,1553363400,40,64.17,-51.74,17.6,16.11
Artyom,0,RU,1553362200,78,43.36,132.19,17.6,8.77
Glushkovo,0,RU,1553365327,75,51.34,34.64,32.17,10.0
Kulu,24,CD,1553365327,71,3.47,23.69,81.58,2.95
Ulaanbaatar,0,MN,1553364000,51,47.92,106.92,10.4,4.74
Port Hardy,75,CA,1553364000,71,50.7,-127.42,50.0,10.29
Portobelo,40,PA,1553365179,52,9.55,-79.65,90.0,20.8
Oriximina,88,BR,1553365074,80,-1.77,-55.87,82.57,4.41
Komsomolskiy,80,RU,1553365328,88,67.55,63.78,22.63,11.68
Kavaratti,0,IN,1553365328,100,10.57,72.64,83.65,7.76
Chuy,20,UY,1553365329,83,-33.69,-53.46,74.92,7.31
Clarksburg,1,US,1553365234,33,39.24,-77.28,50.0,16.11
Inta,20,RU,1553365329,83,66.04,60.13,24.34,6.42
Amahai,20,ID,1553360181,74,-3.31,129.0,86.0,4.0
Katobu,88,ID,1553365330,100,-4.94,122.53,80.41,3.29
Upernavik,24,GL,1553365079,100,72.79,-56.15,-5.91,9.66
Jandaia do Sul,20,BR,1553360400,54,-23.6,-51.64,84.2,4.7
Lata,20,IN,1553365331,61,30.78,78.62,42.25,2.95
Port-Gentil,40,GA,1553364000,83,-0.72,8.78,84.2,6.93
Sistranda,75,NO,1553364865,93,63.73,8.83,37.99,46.08
Sergeyevka,0,KZ,1553365331,62,53.88,67.42,13.99,2.73
Bredasdorp,8,ZA,1553364960,88,-34.53,20.04,71.01,3.36
Chokurdakh,56,RU,1553365332,50,70.62,147.9,-17.52,3.18
Noshiro,88,JP,1553365332,100,40.21,140.05,38.74,17.27
Luanda,40,AO,1553364000,78,-8.83,13.24,82.4,6.93
Shilka,0,RU,1553365332,44,51.85,116.03,23.62,8.77
Zhanaozen,0,KZ,1553365333,82,43.35,52.85,41.17,5.19
Luau,76,CD,1553365134,69,-10.7,22.23,74.92,4.41
Hobart,75,AU,1553365045,68,-42.88,147.33,64.4,8.05
Muisne,75,EC,1553364000,79,0.61,-80.02,84.2,5.82
Otradnoye,90,RU,1553365236,86,59.77,30.8,37.99,8.95
Praia da Vitoria,75,PT,1553364951,67,38.73,-27.07,57.99,31.25
Sitka,12,US,1553364980,69,37.17,-99.65,57.99,5.01
Rongcheng,0,CN,1553365334,92,37.16,122.42,22.36,3.4
Plainview,1,US,1553365060,26,34.18,-101.71,64.0,12.75
Renigunta,0,IN,1553365334,80,13.64,79.51,74.92,4.85
Taitung,76,TW,1553365334,100,22.76,121.15,62.77,16.93
Trujillo,0,PE,1553364000,78,-8.11,-79.03,71.6,12.75
Rantepao,80,ID,1553365335,97,-2.97,119.9,67.09,1.61
Jinchang,8,CN,1553365335,51,38.52,102.19,17.23,3.18
Vostok,0,RU,1553365335,67,46.45,135.83,6.34,2.51
Dedougou,76,BF,1553365336,18,12.47,-3.47,93.01,4.52
Torrelodones,20,ES,1553365333,40,40.58,-3.93,64.99,2.24
Inhambane,20,MZ,1553364000,94,-23.87,35.38,75.2,5.82
Gouyave,40,GD,1553360400,70,12.16,-61.73,84.2,21.92
Caravelas,92,BR,1553365339,100,-17.73,-39.27,80.05,21.52
Westport,75,IE,1553365092,70,53.8,-9.52,46.0,10.29
Aripuana,64,BR,1553365340,82,-9.17,-60.63,82.57,2.17
Rio Grande,40,BR,1553360400,47,-32.03,-52.1,78.8,13.87
Mar del Plata,56,AR,1553365340,72,-46.43,-67.52,58.45,14.47
Gazojak,20,TM,1553365341,89,41.19,61.4,47.47,3.96
Pechora,32,RU,1553365165,83,65.12,57.16,25.42,9.22
Calbuco,75,CL,1553364000,67,-41.77,-73.13,59.0,4.7
Butaritari,68,KI,1553365080,100,3.07,172.79,81.4,8.99
Pisco,0,PE,1553364000,30,-13.71,-76.2,71.6,10.29
Sovetskaya Gavan,0,RU,1553365342,98,48.97,140.29,7.24,7.43
Saint-Philippe,1,CA,1553365329,84,45.36,-73.48,34.0,20.8
Lompoc,90,US,1553365324,87,34.64,-120.46,61.0,3.36
Misrikh,0,IN,1553365342,31,27.43,80.53,74.92,13.47
Ponta do Sol,36,BR,1553365342,79,-20.63,-46.0,77.89,5.19
Nizhnevartovsk,0,RU,1553362200,86,60.93,76.58,28.4,4.47
Miyazu,80,JP,1553365343,88,35.58,135.2,25.33,3.18
Poyarkovo,44,RU,1553365343,36,49.62,128.65,15.79,8.55
Bambous Virieux,75,MU,1553365140,83,-20.34,57.76,80.6,10.29
Sheregesh,0,RU,1553365343,62,52.93,87.98,16.15,2.17
Norman Wells,75,CA,1553364000,68,65.28,-126.83,26.6,25.28
Colares,20,PT,1553365238,27,38.8,-9.45,75.2,11.41
Biloela,0,AU,1553365344,93,-24.4,150.51,64.39,2.73
Cabo San Lucas,5,MX,1553365223,23,22.89,-109.91,81.0,3.29
Katsuura,40,JP,1553360400,93,33.93,134.5,37.4,5.82
Longview,1,US,1553365228,49,32.5,-94.74,75.0,12.75
San Cristobal,75,EC,1553364975,49,-0.39,-78.55,73.4,12.75
Mount Gambier,90,AU,1553363400,100,-37.83,140.78,59.0,3.36
Namibe,24,AO,1553365349,100,-15.19,12.15,78.25,6.76
Kedrovyy,0,RU,1553362200,86,56.17,91.82,28.4,2.51
Synya,88,RU,1553365349,86,65.37,58.04,27.22,9.33
Jalu,8,LY,1553365349,43,29.03,21.55,71.32,13.8
Springbok,0,ZA,1553365068,34,-29.67,17.88,74.83,5.75
Cockburn Town,0,TC,1553364985,98,21.46,-71.14,79.6,10.22
Jablah,40,SY,1553364000,87,35.36,35.93,57.2,4.7
Port Alfred,0,ZA,1553365210,92,-33.59,26.89,75.99,1.99
Zhirnovsk,80,RU,1553365350,78,50.98,44.78,24.34,3.62
Kieta,80,PG,1553365350,98,-6.22,155.63,79.06,2.28
Brodokalmak,20,RU,1553365205,65,55.57,62.07,32.0,2.24
Tineo,0,ES,1553365243,62,43.34,-6.41,57.2,8.05
Progreso,75,UY,1553364983,44,-34.68,-56.22,75.2,6.93
Talnakh,68,RU,1553365351,66,69.49,88.39,2.29,5.41
Varberg,0,SE,1553365084,80,57.11,12.25,43.0,16.11
Mbala,56,ZM,1553365352,94,-8.85,31.37,63.04,4.18
Goderich,0,CA,1553365304,66,43.74,-81.71,36.0,13.0
Palmer,75,AU,1553365139,82,-34.85,139.16,70.0,4.7
Springfield,90,US,1553365250,41,37.22,-93.29,60.01,16.11
Srednekolymsk,0,RU,1553365353,53,67.46,153.71,-4.83,2.39
Haukipudas,0,FI,1553364954,74,65.17,25.5,37.4,14.99
Vila Franca do Campo,75,PT,1553365313,76,37.72,-25.43,57.2,33.33
Ewa Beach,90,US,1553365313,69,21.32,-158.01,73.99,4.7
Fairbanks,40,US,1553365252,59,64.84,-147.72,39.99,4.7
Olinda,75,EC,1553365184,79,-2.03,-79.75,84.2,6.93
Yuanping,0,CN,1553365354,46,38.72,112.71,17.5,2.39
Kihei,20,US,1553365347,60,20.76,-156.45,75.2,11.41
Sobolevo,8,RU,1553365355,78,54.43,31.9,30.37,3.06
Luderitz,8,NA,1553365355,82,-26.65,15.16,63.49,11.79
Puerto Maldonado,75,PE,1553364000,334,-12.59,-69.19,33.8,2.24
Taguatinga,75,BR,1553364000,61,-15.83,-48.06,78.8,6.93
Eregli,68,TR,1553365355,78,37.51,34.05,39.19,4.41
El Vigia,0,MX,1553365096,53,26.85,-109.72,78.01,4.0
Korsakovo,0,RU,1553365356,87,53.27,37.36,27.67,8.55
Victoria,75,BN,1553362200,94,5.28,115.24,80.6,4.7
Kruisfontein,0,ZA,1553365356,83,-34.0,24.73,70.33,9.78
Sao Geraldo do Araguaia,88,BR,1553365357,75,-6.4,-48.55,85.72,7.99
Sydney,12,AU,1553365153,100,-33.85,151.22,70.0,2.95
Taree,12,AU,1553364899,100,-31.91,152.46,68.0,2.24
Parana,90,BR,1553364000,83,-7.52,-72.89,80.6,2.24
Kahului,20,US,1553365347,60,20.89,-156.47,75.2,11.41
Lotofaga,75,WS,1553364794,88,-13.98,-171.86,78.8,4.7
Farafangana,76,MG,1553365358,100,-22.82,47.83,75.64,7.2
Ancud,75,CL,1553364000,67,-41.87,-73.83,59.0,5.82
Chernyshevskiy,68,RU,1553365358,56,63.01,112.47,5.53,8.21
Lake Havasu City,1,US,1553365072,37,34.47,-114.34,72.0,4.7
Vynohradove,0,UA,1553362200,56,46.37,32.94,42.8,13.42
Beringovskiy,92,RU,1553365155,84,63.05,179.32,6.88,20.74
Yar-Sale,76,RU,1553365359,91,66.83,70.83,21.37,7.65
Georgetown,75,GY,1553364000,46,6.8,-58.16,89.6,13.87
Nianzishan,0,CN,1553365359,39,47.51,122.88,26.05,9.66
Makakilo City,90,US,1553365313,69,21.35,-158.09,73.99,4.7
La Mana,40,EC,1553364975,55,-0.93,-79.22,63.0,11.41
Upata,0,VE,1553365360,26,8.02,-62.41,94.72,9.33
Lagoa,0,PT,1553365329,59,37.14,-8.45,66.2,10.29
Coari,20,BR,1553365361,62,-4.09,-63.14,89.5,3.96
Pouebo,92,NC,1553365361,90,-20.4,164.57,76.99,7.43
Quesnel,90,CA,1553365232,61,52.98,-122.49,44.01,2.24
The Pas,90,CA,1553364000,69,53.82,-101.24,35.6,8.05
Brae,0,GB,1553363400,84,60.4,-1.35,44.6,25.28
Pangnirtung,90,CA,1553362140,64,66.15,-65.72,1.4,23.04
Harnosand,36,SE,1553364919,33,62.63,17.94,42.8,12.75
Torbay,75,CA,1553365108,71,47.66,-52.73,51.8,21.92
Bourail,76,NC,1553365149,98,-21.57,165.5,72.76,2.95
Bilibino,0,RU,1553365162,25,68.06,166.44,-18.24,2.17
Berlevag,12,NO,1553365362,100,70.86,29.09,30.37,6.76
Marzuq,0,YE,1553365362,64,14.4,46.47,62.77,2.95
Babag,20,PH,1553360400,65,10.38,123.86,80.6,6.93
Basco,1,US,1553365233,58,40.33,-91.2,55.0,11.41
Pavilosta,90,LV,1553363400,100,56.89,21.19,39.2,12.75
Ternate,40,PH,1553365180,69,14.29,120.72,80.6,9.17
Vao,92,EE,1553365363,94,59.1,26.19,38.2,11.34
Aguimes,20,ES,1553365233,63,27.91,-15.45,69.01,23.04
Araci,64,BR,1553365364,82,-11.34,-38.96,83.2,5.41
San Patricio,0,PY,1553365364,55,-26.98,-56.83,81.67,3.29
Samarinda,48,ID,1553365365,98,-0.5,117.14,76.27,1.61
Kasongo-Lunda,56,CD,1553365147,93,-6.48,16.82,71.05,2.06
Hurricane,1,US,1553365224,71,37.18,-113.29,55.99,3.4
Soure,0,PT,1553365319,37,40.06,-8.63,69.8,12.75
Nicoya,0,CR,1553360400,38,10.15,-85.45,91.4,17.22
Matara,75,PE,1553364000,76,-13.74,-72.9,53.6,2.51
Faanui,44,PF,1553365366,100,-16.48,-151.75,83.47,10.22
Mahebourg,75,MU,1553365140,83,-20.41,57.7,80.6,10.29
Pokaran,0,IN,1553365366,31,26.93,71.92,72.94,8.55
Belaya Gora,48,RU,1553365366,23,68.54,146.19,-16.17,2.95
Nemuro,0,JP,1553365367,100,43.32,145.57,27.13,10.89
Belmonte,12,PT,1553364987,41,40.36,-7.35,64.99,1.99
Qasigiannguit,75,GL,1553363400,39,68.82,-51.19,-5.81,12.75
Bay Roberts,75,CA,1553365108,62,47.58,-53.28,51.8,18.34
Omboue,80,GA,1553365153,100,-1.57,9.26,79.69,10.22
Manutuke,8,NZ,1553365213,99,-38.68,177.91,57.99,1.99
Fort-Shevchenko,0,KZ,1553365368,95,44.51,50.26,41.35,8.21
Voznesenye,88,RU,1553365368,91,61.02,35.48,33.7,20.51
Athabasca,8,CA,1553364907,82,54.72,-113.29,41.71,12.68
Coihaique,20,CL,1553364000,51,-45.58,-72.07,60.8,6.93
Saint-Pierre,0,FR,1553365324,81,48.95,4.24,51.8,9.17
Agadez,0,NE,1553360400,19,16.97,7.99,96.8,9.17
Mbanza-Ngungu,92,CD,1553365369,94,-5.25,14.87,69.88,8.21
North Platte,90,US,1553365030,93,41.12,-100.77,45.0,13.87
Alice Springs,0,AU,1553364000,42,-23.7,133.88,84.2,10.29
Butajira,0,ET,1553365370,37,8.12,38.38,64.66,6.31
Peniche,0,PT,1553365238,33,39.36,-9.38,71.6,11.41
Muros,20,ES,1553365369,39,42.77,-9.06,66.99,14.99
Mysen,0,NO,1553365218,45,59.56,11.32,43.0,13.87
Eyl,100,SO,1553365373,95,7.98,49.82,80.05,12.12
Beloha,36,MG,1553365374,76,-25.17,45.06,76.99,17.49
Beyneu,0,KZ,1553365374,82,45.32,55.19,40.36,4.74
Port Augusta,92,AU,1553365169,93,-32.49,137.76,68.0,3.51
Mungeli,0,IN,1553365374,29,22.07,81.69,73.03,7.87
Morondava,20,MG,1553365375,77,-20.3,44.28,85.27,5.75
Ribas do Rio Pardo,0,BR,1553365375,76,-20.45,-53.76,84.73,4.74
Bakchar,36,RU,1553365375,86,57.02,82.07,20.2,2.51
Tiznit,76,MA,1553365375,89,29.7,-9.73,63.13,5.86
Missoula,90,US,1553365024,80,46.87,-114.0,45.0,2.51
Shubarshi,48,KZ,1553365104,77,48.59,57.19,34.6,2.84
Bergisch Gladbach,75,DE,1553365367,66,50.99,7.13,54.0,5.82
Fuerte Olimpo,20,BR,1553365379,70,-21.04,-57.87,88.87,4.18
Boguchany,36,RU,1553365379,73,58.38,97.46,23.35,3.29
Nome,1,US,1553365363,41,30.04,-94.42,75.99,13.87
San Juan del Sur,0,NI,1553360400,45,11.25,-85.87,84.2,11.41
Wyndham,75,GB,1553365375,66,51.61,-3.54,53.01,8.05
Sawtell,90,AU,1553365098,83,-30.38,153.1,73.4,13.87
Saldanha,24,PT,1553365381,29,41.42,-6.55,64.75,8.66
Muroto,12,JP,1553365381,100,33.37,134.14,40.09,7.99
Mount Isa,68,AU,1553362200,74,-20.73,139.49,78.8,10.29
Denpasar,90,ID,1553362200,100,-8.65,115.22,77.0,6.93
Chumikan,0,RU,1553365382,53,54.72,135.31,6.97,7.76
Durango,1,US,1553365118,60,37.28,-107.88,50.0,3.36
Kaabong,0,UG,1553365382,31,3.51,34.14,76.27,8.43
Kalmunai,0,LK,1553365382,94,7.42,81.82,75.01,2.73
Lengshuijiang,48,CN,1553365382,87,27.66,111.45,42.25,2.28
Inongo,56,CD,1553365383,95,-1.93,18.29,75.28,2.06
Shingu,0,JP,1553365383,100,33.72,135.99,47.47,14.7
Miramar,0,CR,1553364962,39,10.09,-84.73,82.4,16.11
Umm Lajj,0,SA,1553365384,75,25.02,37.27,69.34,3.18
Meulaboh,36,ID,1553365384,100,4.14,96.13,77.8,3.4
Natal,40,BR,1553364000,62,-5.81,-35.21,89.6,6.93
Marrakesh,75,MA,1553364000,37,31.63,-7.99,68.0,6.93
Okhotsk,88,RU,1553365178,86,59.36,143.24,21.19,7.2
Tiksi,48,RU,1553365385,68,71.64,128.87,1.57,3.06
Saint-Joseph,0,FR,1553365244,51,43.56,6.97,64.4,2.06
Ilulissat,75,GL,1553363400,39,69.22,-51.1,-5.81,12.75
Bathsheba,20,BB,1553364000,58,13.22,-59.52,84.2,17.22
Zaritap,40,AM,1553362200,43,39.64,45.51,51.8,4.7
Marsh Harbour,0,BS,1553365361,100,26.54,-77.06,73.84,5.53
Sur,12,OM,1553365386,84,22.57,59.53,75.64,6.76
Hay River,75,CA,1553364000,72,60.82,-115.79,15.8,14.99
Vanimo,56,PG,1553365386,98,-2.67,141.3,83.11,16.71
Hamilton,75,BM,1553365118,68,32.3,-64.78,72.0,21.92
Hasaki,20,JP,1553364889,92,35.73,140.83,30.2,2.24
Waipawa,0,NZ,1553365336,94,-39.94,176.59,51.01,2.62
Ruteng,92,ID,1553365388,90,-8.61,120.46,76.09,5.53
Vyartsilya,88,RU,1553365388,94,62.18,30.69,35.59,17.72
Marivan,68,IR,1553365388,92,35.52,46.18,36.58,0.38
Sauce,75,UY,1553364983,44,-34.65,-56.06,75.2,6.93
Skelleftea,0,SE,1553365034,44,64.75,20.95,41.0,19.46
Saskylakh,0,RU,1553365389,33,71.97,114.09,-23.01,3.4
Nishihara,20,JP,1553365356,38,35.74,139.53,41.0,5.82
Avera,1,US,1553365378,28,33.19,-82.53,70.0,9.17
Bafoulabe,64,ML,1553365389,30,13.81,-10.83,90.13,10.45
Lasa,20,CY,1553364956,87,34.92,32.53,60.8,4.7
Tessalit,80,ML,1553365390,11,20.2,1.01,79.69,8.1
Kamaishi,0,JP,1553365390,84,39.28,141.86,22.63,1.72
Santiago del Estero,0,AR,1553364967,58,-27.8,-64.26,83.65,16.04
Nhulunbuy,75,AU,1553362200,83,-12.18,136.78,84.2,14.99
Vestmanna,88,FO,1553363400,80,62.16,-7.17,39.2,20.8
Soyo,20,AO,1553360400,74,-6.13,12.37,84.2,8.05
Manta,0,RO,1553365391,54,45.1,24.1,46.3,4.74
Cidreira,12,BR,1553365392,85,-30.17,-50.22,74.47,5.41
Auki,0,NG,1553365392,37,12.18,6.51,88.33,2.84
Burlington,5,CA,1553365322,37,43.32,-79.8,41.0,10.29
Griffith,92,AU,1553365219,56,-34.29,146.06,73.4,16.11
